original_split,source_filename,split,filename,boxes,pixel_sha256
train,0_jpeg_jpg.rf.ed4e8539e4af489696394d12a74c1957.jpg,train,train__0_jpeg_jpg.rf.ed4e8539e4af489696394d12a74c1957.jpg,8,a6ec8768b4da4c5b39b9f20b0f2029c05a11734d9fd7277e12608b17776198bd
train,100_jpeg_jpg.rf.3c57dcbe310772276679566f161e6f3e.jpg,train,train__100_jpeg_jpg.rf.3c57dcbe310772276679566f161e6f3e.jpg,3,466574c6d7a902b3dee330f5691181356471a3f5ae23d453dfd701321ed966d5
train,101_jpeg_jpg.rf.be97807bc48736efec747ca4150ef7a4.jpg,train,train__101_jpeg_jpg.rf.be97807bc48736efec747ca4150ef7a4.jpg,13,e698cb2e4ea87a24826f0da743dcfbb9f7d36f2f0810933615af67023f93902c
train,102_jpeg_jpg.rf.20bb5d40104b447f16426f990c1210de.jpg,train,train__102_jpeg_jpg.rf.20bb5d40104b447f16426f990c1210de.jpg,21,47569152a0097bb5b72c2c5ac4afb1d8000c0bf711b70e3b75f81a5a53625076
train,103_jpeg_jpg.rf.1978817f44ff10fd7b4388216decfffe.jpg,train,train__103_jpeg_jpg.rf.1978817f44ff10fd7b4388216decfffe.jpg,17,1509a3384c6a6e5b3bc5b48c3da791230ec2b7c9714e2eed11d4bc3f54ac202d
train,104_jpeg_jpg.rf.7e698a63f934edab0fc3fecda0634311.jpg,train,train__104_jpeg_jpg.rf.7e698a63f934edab0fc3fecda0634311.jpg,8,560f21e63508042b4601108a18f0b4bf5837546b820c1842e51f2bc0b4809b68
train,105_jpeg_jpg.rf.4bd7f20c7393f131d16f1a353144ec03.jpg,train,train__105_jpeg_jpg.rf.4bd7f20c7393f131d16f1a353144ec03.jpg,3,000d54072900c9f89fc3ca24ff3a9eb333e912067fa0a90ded17c599ea839194
train,106_jpeg_jpg.rf.6f4834000dc18d6bdadf85f89c0950d2.jpg,train,train__106_jpeg_jpg.rf.6f4834000dc18d6bdadf85f89c0950d2.jpg,2,c80a244de9be634ee774bc19d25a3bb1353ec6633bed2532fe01511ce2e723ee
train,107_jpeg_jpg.rf.b7fa1248ef059236fba4852ff228f9f9.jpg,train,train__107_jpeg_jpg.rf.b7fa1248ef059236fba4852ff228f9f9.jpg,4,9dfa402c4409d507526177ee405ac546b3143201f2837e023f8d43dd0c49d3a1
train,108_jpeg_jpg.rf.ae2244a2fbf7f0b485f83a163376fd93.jpg,train,train__108_jpeg_jpg.rf.ae2244a2fbf7f0b485f83a163376fd93.jpg,8,9cacc60167f2153e9e8b7b8f525bea103a757004fdac1428848b37b6aac09436
train,109_jpeg_jpg.rf.19ce6951e3ff1460b0847a8a00aabb73.jpg,train,train__109_jpeg_jpg.rf.19ce6951e3ff1460b0847a8a00aabb73.jpg,5,35f3b219f699db506e9bf5f0a0029255006c0ac81ad2983abd798fcae9c15a03
